Model,Activation,Optimizer,SeqLen,GradClip,Acc,F1
RNN,tanh,adam,25,No,0.66388,0.6619581781561261
RNN,tanh,adam,25,Yes,0.6918,0.6915817756011443
RNN,tanh,adam,50,No,0.55164,0.5504224714008248
RNN,tanh,adam,50,Yes,0.66836,0.6682586362936229
RNN,tanh,adam,100,No,0.5854,0.5852373964689117
RNN,tanh,adam,100,Yes,0.55832,0.5187819249100936
RNN,tanh,sgd,25,No,0.50648,0.5054732352912205
RNN,tanh,sgd,25,Yes,0.49968,0.49967561635788027
RNN,tanh,sgd,50,No,0.49808,0.4980404182783591
RNN,tanh,sgd,50,Yes,0.50184,0.5005470289345016
RNN,tanh,sgd,100,No,0.51196,0.5085151639108333
RNN,tanh,sgd,100,Yes,0.50484,0.49898314584159387
RNN,tanh,rmsprop,25,No,0.65352,0.6443983826906736
RNN,tanh,rmsprop,25,Yes,0.66412,0.660461664577288
RNN,tanh,rmsprop,50,No,0.6248,0.6199783731555808
RNN,tanh,rmsprop,50,Yes,0.6842,0.6810996636863724
RNN,tanh,rmsprop,100,No,0.55424,0.5494564704959386
RNN,tanh,rmsprop,100,Yes,0.64648,0.6434410543819347
RNN,relu,adam,25,No,0.66572,0.6577672103128515
RNN,relu,adam,25,Yes,0.68104,0.6782014255875398
RNN,relu,adam,50,No,0.53928,0.5292566278312676
RNN,relu,adam,50,Yes,0.64296,0.6346065802581775
RNN,relu,adam,100,No,0.54696,0.5457126359272235
RNN,relu,adam,100,Yes,0.58288,0.5536264639408259
RNN,relu,sgd,25,No,0.508,0.5043065172734525
RNN,relu,sgd,25,Yes,0.49756,0.4955731546636768
RNN,relu,sgd,50,No,0.50816,0.4995347626963489
RNN,relu,sgd,50,Yes,0.49868,0.49865599244031644
RNN,relu,sgd,100,No,0.4974,0.4916054729188339
RNN,relu,sgd,100,Yes,0.5,0.49752661213224103
RNN,relu,rmsprop,25,No,0.64512,0.6394979655820223
RNN,relu,rmsprop,25,Yes,0.67888,0.678661436305951
RNN,relu,rmsprop,50,No,0.5222,0.43323189394162614
RNN,relu,rmsprop,50,Yes,0.6868,0.6864821601285953
RNN,relu,rmsprop,100,No,0.60052,0.599898899054937
RNN,relu,rmsprop,100,Yes,0.62228,0.6215829078844026
RNN,sigmoid,adam,25,No,0.63976,0.6394789643349438
RNN,sigmoid,adam,25,Yes,0.64776,0.6473230191136026
RNN,sigmoid,adam,50,No,0.53356,0.5314718178695303
RNN,sigmoid,adam,50,Yes,0.5866,0.5800551487425647
RNN,sigmoid,adam,100,No,0.51784,0.46695777087163065
RNN,sigmoid,adam,100,Yes,0.55512,0.5319704339301489
RNN,sigmoid,sgd,25,No,0.50152,0.376965189378305
RNN,sigmoid,sgd,25,Yes,0.49576,0.49041663109365663
RNN,sigmoid,sgd,50,No,0.4914,0.4874124584936118
RNN,sigmoid,sgd,50,Yes,0.49872,0.48239378912197595
RNN,sigmoid,sgd,100,No,0.50388,0.47992909122692834
RNN,sigmoid,sgd,100,Yes,0.4938,0.4535751874695664
